"action","classification","source","target","phase","condition","rationale"
"MOVE_ARCHIVE","ARCHIVE_DOC","docs/redesign/**","docs/archive/conversational-workspace/redesign/**","R0","completed before R1","legacy conversational redesign document package"
"CREATE","REPLACE","docs/rebuild/**","docs/rebuild/**","R0","package contents","new authority"
"KEEP_THEN_ARCHIVE","ADAPT","docs/contracts/INTERNAL_AI_API_V1_CONTRACT.md","docs/archive/contracts/internal-ai-v1/","R1-R7","after new task contracts replace it","avoid breaking old tests early"
"KEEP_THEN_ARCHIVE","ADAPT","docs/contracts/fixtures/internal-ai-v1/**","docs/archive/contracts/internal-ai-v1/fixtures/","R1-R7","after new fixtures pass","legacy fixtures"
"REPLACE","REPLACE","frontEnd/src/features/projects/routing/projectRoutes.js","frontEnd/src/app/routing/projectRoutes.js","R1","immediate","new route map"
"REPLACE","REPLACE","frontEnd/src/features/projects/model/projectWorkflowModel.js","frontEnd/src/app/module-status/projectModuleModel.js","R1","immediate","remove global stage"
"DELETE","DELETE_IN_R7","frontEnd/src/features/conversational-idea/**","","R2","after idea-intake E2E","remove conversational UI"
"CREATE","REPLACE","frontEnd/src/features/idea-intake/**","","R2","new","form/question/brief"
"DELETE","DELETE_IN_R7","frontEnd/src/features/concept-workboard/**","","R3","after 5-slot workboard","remove 3-slot UI"
"CREATE","REPLACE","frontEnd/src/features/concept-factory/**","","R3","new","5-slot workboard"
"CREATE","REPLACE","frontEnd/src/features/concept-selection/**","","R4","new","compare/select"
"DELETE","DELETE_IN_R7","frontEnd/src/features/validation/**","","R4-R5","after external shells","legacy persona/interview/market response"
"CREATE","REPLACE","frontEnd/src/features/market-integration/**","","R4-R5","new","external market shell"
"CREATE","REPLACE","frontEnd/src/features/planning-revision/**","","R5","new","change proposals/finalize"
"CREATE","REPLACE","frontEnd/src/features/business-persona-integration/**","","R5","new","external result shell"
"DELETE","DELETE_IN_R7","frontEnd/src/features/financial/**","","R5-R7","after external contract shell","local implementation out of scope"
"DELETE","DELETE_IN_R7","frontEnd/src/features/marketing/**","","R6","after new marketing-content","remove legacy workspace"
"CREATE","REPLACE","frontEnd/src/features/marketing-content/**","","R6","new","ported content creation"
"CREATE","REPLACE","frontEnd/src/features/job-center/**","","R1","new","global async drawer"
"KEEP","KEEP","frontEnd/src/shared/async-events/**","","R1-R7","refactor only","SSE/event reuse"
"DELETE","DELETE_IN_R7","frontEnd/src/page/VirtualMarket.*","","R4-R7","after route removal","legacy duplicate UI"
"KEEP","KEEP","backend/src/main/java/com/aivle/backend/taskrun/**","","R1-R7","refactor as needed","durable execution"
"KEEP","KEEP","backend/src/main/java/com/aivle/backend/jobevent/**","","R1-R7","refactor as needed","event/SSE"
"KEEP","KEEP","backend/src/main/java/com/aivle/backend/auth/**","","R1-R7","keep","auth"
"KEEP","KEEP","backend/src/main/java/com/aivle/backend/project/**","","R1-R7","replace stage usage","project ownership"
"KEEP","KEEP","backend/src/main/java/com/aivle/backend/audit/**","","R1-R7","keep","audit"
"CREATE","REPLACE","backend/src/main/java/com/aivle/backend/pipeline/idea/**","","R2","new","idea brief"
"CREATE","REPLACE","backend/src/main/java/com/aivle/backend/pipeline/concept/**","","R3","new","concept factory"
"CREATE","REPLACE","backend/src/main/java/com/aivle/backend/pipeline/legal/**","","R3","new","legal context/assessment"
"CREATE","REPLACE","backend/src/main/java/com/aivle/backend/pipeline/selection/**","","R4","new","selection snapshot"
"CREATE","REPLACE","backend/src/main/java/com/aivle/backend/pipeline/integration/**","","R4-R5","new","module handoff"
"CREATE","REPLACE","backend/src/main/java/com/aivle/backend/pipeline/planning/**","","R5","new","planning revision"
"CREATE","REPLACE","backend/src/main/java/com/aivle/backend/pipeline/marketing/**","","R6","new","marketing content"
"DELETE","DELETE_IN_R7","backend/src/main/java/com/aivle/backend/journey/**","","R2-R7","incrementally after replacement","legacy journey"
"DELETE","DELETE_IN_R7","backend/src/main/java/com/aivle/backend/validation/**","","R4-R7","after external shell","legacy persona/market response"
"DELETE","DELETE_IN_R7","backend/src/main/java/com/aivle/backend/analysis/financial/**","","R5-R7","after external contract","out of scope"
"DELETE","DELETE_IN_R7","backend/src/main/java/com/aivle/backend/marketing/content/**","","R6","after new marketing pipeline","replace source dependencies"
"KEEP_REFACTOR","ADAPT","ai/app/services/journey_provider.py","ai/app/providers/","R1-R3","extract provider adapter","provider foundation"
"CREATE","REPLACE","ai/app/tasks/idea_brief/**","","R2","new","idea task"
"CREATE","REPLACE","ai/app/tasks/concept_candidate/**","","R3","new","candidate task"
"CREATE","REPLACE","ai/app/tasks/concept_legal_review/**","","R3","new","legal task"
"CREATE","REPLACE","ai/app/tasks/concept_redesign/**","","R3","new","redesign task"
"CREATE","REPLACE","ai/app/tasks/marketing_content/**","","R6","port from AIdev","generation task"
"DELETE","DELETE_IN_R7","ai/prompts/idea_conversation_turn/**","","R2","after new prompt","legacy conversation prompt"
"DELETE","DELETE_IN_R7","ai/prompts/concept_generation/**","","R3","after new task prompts","legacy concept prompts"
"PORT_SELECTIVE","ADAPT","AIdev: ai/app/api/marketing.py","ai/app/tasks/marketing_content/api.py","R6","adapt not copy","generation only"
"PORT_SELECTIVE","ADAPT","AIdev: ai/app/services/marketing_task_service.py","ai/app/tasks/marketing_content/service.py","R6","adapt not copy","generation only"
"PORT_SELECTIVE","ADAPT","AIdev: ai/prompts/marketing_generation/**","ai/app/tasks/marketing_content/prompts/**","R6","adapt contract","generation only"
"PORT_SELECTIVE","ADAPT","AIdev: frontEnd/src/features/marketing/components/**","frontEnd/src/features/marketing-content/**","R6","Canvas/Setup/Style/Copy only","new UX"
"RESET","REPLACE","backend/src/main/resources/db/migration/**","new baseline migration set","R1","no data preservation","clean schema"
"ADAPT","ADAPT","frontEnd/src/features/projects/**","frontEnd/src/app/project-shell/**","R1","preserve project ownership and replace workflow navigation","project shell foundation"
"KEEP","KEEP","frontEnd/src/features/auth/**","","R1-R7","keep","authentication UI"
"KEEP","KEEP","frontEnd/src/shared/ui/**","","R1-R7","keep","shared design system"
"DELETE","DELETE_IN_R7","frontEnd/src/features/journey/**","","R7","after replacement routes and modules pass","active legacy journey screens"
"DELETE","DELETE_IN_R7","frontEnd/src/features/document/**","","R7","after idea brief attachment replacement","legacy document upload policy UI"
"DELETE","DELETE_IN_R7","frontEnd/src/features/documents/**","","R7","after idea brief attachment replacement","legacy document workspace"
"DELETE","DELETE_IN_R7","frontEnd/src/features/feasibility/**","","R7","after concept and external market replacement","legacy feasibility UI"
"DELETE","DELETE_IN_R7","frontEnd/src/features/legal-review/**","","R7","after legal context replacement","legacy legal review UI"
"DELETE","DELETE_IN_R7","frontEnd/src/features/personas/**","","R7","after external business persona shell","legacy persona UI"
"DELETE","DELETE_IN_R7","frontEnd/src/features/report/**","","R7","after new module outputs are accepted","legacy final report UI"
"DELETE","DELETE_IN_R7","frontEnd/src/features/structured-plan/**","","R7","after idea brief replacement","legacy structured plan UI"
"KEEP","KEEP","backend/src/main/java/com/aivle/backend/common/**","","R1-R7","keep","shared response and exception contracts"
"KEEP","KEEP","backend/src/main/java/com/aivle/backend/config/**","","R1-R7","keep","application infrastructure"
"KEEP","KEEP","backend/src/main/java/com/aivle/backend/file/**","","R1-R7","keep","shared file storage"
"KEEP","KEEP","backend/src/main/java/com/aivle/backend/user/**","","R1-R7","keep","user ownership"
"DELETE","DELETE_IN_R7","backend/src/main/java/com/aivle/backend/document/**","","R7","after idea brief attachment replacement","legacy document and structured plan API"
"DELETE","DELETE_IN_R7","backend/src/main/java/com/aivle/backend/analysis/legal/**","","R7","after pipeline legal replacement","legacy legal analysis API"
"DELETE","DELETE_IN_R7","backend/src/main/java/com/aivle/backend/analysis/feasibility/**","","R7","after concept and external market replacement","legacy feasibility implementation"
"DELETE","DELETE_IN_R7","backend/src/main/java/com/aivle/backend/persona/**","","R7","after external business persona integration","legacy persona implementation"
"DELETE","DELETE_IN_R7","backend/src/main/java/com/aivle/backend/report/**","","R7","after legacy report surface removal","legacy final report persistence"
"DELETE","DELETE_IN_R7","backend/src/main/java/com/aivle/backend/integration/ai/feasibility/**","","R7","after new task providers replace it","legacy feasibility adapter"
"DELETE","DELETE_IN_R7","backend/src/main/java/com/aivle/backend/integration/ai/persona/**","","R7","after external business persona integration","legacy persona adapter"
"ADAPT","ADAPT","ai/app/api/marketing.py","ai/app/tasks/marketing_content/api.py","R6","adapt existing implementation to task contract","marketing generation API"
"ADAPT","ADAPT","ai/app/services/marketing_task_service.py","ai/app/tasks/marketing_content/service.py","R6","adapt existing implementation to task contract","marketing generation service"
"ADAPT","ADAPT","ai/prompts/marketing_generation/**","ai/app/tasks/marketing_content/prompts/**","R6","adapt prompt contract","marketing generation prompts"
"DELETE","DELETE_IN_R7","ai/prompts/detailed_analysis/**","","R7","after new task prompts pass","legacy detailed analysis prompt"
"DELETE","DELETE_IN_R7","ai/prompts/final_report_generation/**","","R7","after legacy report removal","legacy final report prompt"
"DELETE","DELETE_IN_R7","ai/prompts/idea_interpretation/**","","R7","after idea brief task replacement","legacy idea interpretation prompt"
"DELETE","DELETE_IN_R7","ai/prompts/interview_synthesis/**","","R7","after external business persona integration","legacy interview synthesis prompt"
"DELETE","DELETE_IN_R7","ai/prompts/legal_review/**","","R7","after legal task replacement","legacy legal review prompt"
"DELETE","DELETE_IN_R7","ai/prompts/marketing_comparison/**","","R7","after marketing content replacement","legacy marketing comparison prompt"
"DELETE","DELETE_IN_R7","ai/prompts/persona_card_generation/**","","R7","after external business persona integration","legacy persona card prompt"
"DELETE","DELETE_IN_R7","ai/prompts/persona_interview/**","","R7","after external business persona integration","legacy persona interview prompt"
"DELETE","DELETE_IN_R7","ai/prompts/quick_assessment/**","","R7","after concept selection replacement","legacy quick assessment prompt"
"REMOVE_ACTIVE_SURFACE","REMOVE_ACTIVE_SURFACE_IN_R1","frontEnd/src/app/router/AppRouter.jsx","frontEnd/src/app/routing/AppRouter.jsx","R1","immediate","remove legacy journey routes and aliases"
"REMOVE_ACTIVE_SURFACE","REMOVE_ACTIVE_SURFACE_IN_R1","frontEnd/src/app/layouts/ProjectLayout.jsx","frontEnd/src/app/project-shell/ProjectLayout.jsx","R1","immediate","remove legacy journey step navigation"
"REMOVE_ACTIVE_SURFACE","REMOVE_ACTIVE_SURFACE_IN_R1","frontEnd/src/app/layouts/AppShell.jsx","","R1","immediate","remove plan review validate report legacy navigation context"
"REMOVE_ACTIVE_SURFACE","REMOVE_ACTIVE_SURFACE_IN_R1","frontEnd/src/features/projects/routing/projectRoutes.js","frontEnd/src/app/routing/projectRoutes.js","R1","immediate","replace legacy route helpers"
"REMOVE_ACTIVE_SURFACE","REMOVE_ACTIVE_SURFACE_IN_R1","frontEnd/src/features/projects/model/projectWorkflowModel.js","frontEnd/src/app/module-status/projectModuleModel.js","R1","immediate","remove stage based legacy navigation"
"REMOVE_ACTIVE_SURFACE","REMOVE_ACTIVE_SURFACE_IN_R1","frontEnd/src/features/projects/ProjectAreaPages.jsx","","R1","immediate","remove plan review validate report navigation surface"
"REMOVE_ACTIVE_SURFACE","REMOVE_ACTIVE_SURFACE_IN_R1","backend/src/main/java/com/aivle/backend/document/controller/DocumentController.java","","R1","immediate","legacy document controller"
"REMOVE_ACTIVE_SURFACE","REMOVE_ACTIVE_SURFACE_IN_R1","backend/src/main/java/com/aivle/backend/document/controller/StructuredPlanController.java","","R1","immediate","legacy structured plan controller"
"REMOVE_ACTIVE_SURFACE","REMOVE_ACTIVE_SURFACE_IN_R1","backend/src/main/java/com/aivle/backend/analysis/legal/controller/LegalReviewController.java","","R1","immediate","legacy legal review controller"
"REMOVE_ACTIVE_SURFACE","REMOVE_ACTIVE_SURFACE_IN_R1","backend/src/main/java/com/aivle/backend/analysis/feasibility/controller/FeasibilityAssessmentController.java","","R1","immediate","legacy feasibility controller"
"REMOVE_ACTIVE_SURFACE","REMOVE_ACTIVE_SURFACE_IN_R1","backend/src/main/java/com/aivle/backend/analysis/financial/FinancialAnalysisController.java","","R1","immediate","legacy financial controller"
"REMOVE_ACTIVE_SURFACE","REMOVE_ACTIVE_SURFACE_IN_R1","backend/src/main/java/com/aivle/backend/analysis/financial/FinancialAnalysisSourceController.java","","R1","immediate","legacy financial source controller"
"REMOVE_ACTIVE_SURFACE","REMOVE_ACTIVE_SURFACE_IN_R1","backend/src/main/java/com/aivle/backend/journey/**/*Controller.java","","R1","immediate","legacy journey controllers"
"REMOVE_ACTIVE_SURFACE","REMOVE_ACTIVE_SURFACE_IN_R1","backend/src/main/java/com/aivle/backend/validation/**/*Controller.java","","R1","immediate","legacy validation controllers"
"REMOVE_ACTIVE_SURFACE","REMOVE_ACTIVE_SURFACE_IN_R1","backend/src/main/java/com/aivle/backend/persona/**/*Controller.java","","R1","immediate","legacy persona controllers"
"REMOVE_ACTIVE_SURFACE","REMOVE_ACTIVE_SURFACE_IN_R1","backend/src/main/java/com/aivle/backend/marketing/content/MarketingContentController.java","","R1","immediate","legacy marketing workspace controller"
