새 표
"연령","성별","N","유형","비중","핵심 특징"
"10대","여","159","가벼운 이용형","35.1%","채널 1.8개, AI 34%"
,,,"전방위 활동형","26.4%","채널 4.3개, AI 91%, 간편결제 80%, 직구 55%"
,,,"저관여형","23.1%","전 지표 최저, 역량 3.4"
,,,"AI 특화형","15.4%","AI 100%, 쇼핑채널 0.5개"
"10대","남","170","소극형","40.9%","채널 0.6개, 결제 미사용, 역량 높음"
,,,"저관여형","22.4%","역량 3.5, AI 7%"
,,,"결제 이용형","19.2%","결제 3.0개, 간편결제 67%"
,,,"구독·AI 활동형","17.5%","구독 2.2개, AI 86%"
"20대","여","386","구독·AI 주류형","34.5%","구독 2.0개, AI 78%, 소득·역량 최고"
,,,"참여·결제 활동형","18.2%","결제 4.1개(최다), 참여 5.5"
,,,"조용한 헤비쇼퍼","18.0%","채널 6.5개, 간편결제 100%, 참여·AI 낮음"
,,,"저관여형","15.2%","전 지표·소득 최저"
,,,"전방위 신소비형","14.1%","채널 6.9개, 라이브 50%, 직구 89%, AI 99%"
"20대","남","346","실속결제 주류형","35.0%","간편결제 89%, 참여·구독 낮음"
,,,"참여·AI형","28.4%","참여 5.8, AI 84%"
,,,"전방위형","28.0%","채널 7.0개, 라이브 59%, 직구 96%, 소득 최고"
,,,"저활동 결제형","8.6%","AI 11%, 참여 1.5"
"30대","여","368","결제 위주형","25.6%","간편결제 92%, 참여 0.4"
,,,"라이브·채널 다각형","23.2%","채널 6.8개, 라이브 67%, 직구 83%"
,,,"AI·구독형","18.4%","AI 99%, 구독 1.4개"
,,,"참여 특화형","18.4%","참여 6.3, 라이브 57%"
,,,"저역량 이용형","14.4%","역량 4.0, AI 19%"
"30대","남","349","실속결제형","36.5%","간편결제 90%, 참여 0.6"
,,,"참여형","29.1%","참여 5.6, 직구 65%"
,,,"구독·전방위형","27.5%","구독 2.1개, AI 76%, 라이브 39%"
,,,"디지털 단절형","6.9%","결제 1.1개, 역량 3.6"
"40대","여","646","기본거래형","34.5%","간편결제 77%, 구독·신기술 거의 0"
,,,"구독·라이브형","22.7%","구독 2.0개, 라이브 52%"
,,,"채널·AI 적극형","21.9%","채널 6.3개, AI 80%, 참여 4.6"
,,,"저역량형","20.9%","역량 3.9, AI 9%"
"40대","남","485","결제만형","31.2%","간편결제 94%, 참여 0.4"
,,,"구독형","21.6%","구독 2.0개, 직구 60%"
,,,"참여·AI형","20.3%","참여 5.3, AI 74%"
,,,"채널 다각형","14.3%","채널 7.1개(최다), 소득 최고"
,,,"디지털 단절형","12.5%","간편결제 11%, AI 2%"
"50대","여","1,067","기본결제 다수파","36.9%","간편결제 77%, 신기술·참여 0"
,,,"저관여형","22.8%","간편결제 20%, 역량 3.3"
,,,"구독형","16.0%","구독 1.9개, 라이브 34%"
,,,"AI형","13.6%","AI 85%"
,,,"참여쇼핑형","10.7%","참여 6.2, 직구 50%"
"50대","남","863","기본결제형","33.0%","간편결제 87%, AI 0%"
,,,"디지털 단절형","28.8%","간편결제 12%"
,,,"AI형","14.9%","AI 83%, 소득 최고"
,,,"구독형","12.1%","구독 2.0개, 직구 52%"
,,,"참여형","11.3%","참여 5.0, 간편결제 95%"
"60대","여","864","디지털 단절형","46.1%","간편결제 2%, 역량 2.6"
,,,"기본이용형","42.2%","간편결제 51%, 신기술 0"
,,,"AI 적극 소수","5.9%","AI 93%, 간편결제 81%"
,,,"구독 소수","5.9%","구독 2.0개"
"60대","남","797","디지털 단절형","52.8%","간편결제 4%"
,,,"기본결제형","34.3%","간편결제 71%, AI 0%"
,,,"디지털 적극형","7.4%","AI 73%, 참여 3.7"
,,,"구독 소수","5.5%","구독 2.0개"
"70대+","남","753","비이용형","90.1%","온라인 소비 사실상 없음"
,,,"결제 이용형","9.9%","간편결제 70%, 소득 상대적 높음"
"70대+","여","1,102","비이용형","100%","단일 시장, 유형 분화 없음"
